name,time/op (ns/op),±
GolWorkers/1_workers-8,6.40893E+08,0%
GolWorkers/2_workers-8,5.82135E+08,0%
GolWorkers/3_workers-8,5.48007E+08,0%
GolWorkers/4_workers-8,5.95035E+08,0%
GolWorkers/5_workers-8,6.07547E+08,0%
GolWorkers/6_workers-8,5.74336E+08,0%
GolWorkers/7_workers-8,5.80269E+08,0%
GolWorkers/8_workers-8,5.30599E+08,0%
GolWorkers/9_workers-8,5.46244E+08,0%
GolWorkers/10_workers-8,5.67365E+08,0%
GolWorkers/11_workers-8,5.00612E+08,0%
GolWorkers/12_workers-8,5.02715E+08,0%
GolWorkers/13_workers-8,5.02809E+08,0%
GolWorkers/14_workers-8,5.12892E+08,0%
GolWorkers/15_workers-8,5.08849E+08,0%
GolWorkers/16_workers-8,6.16775E+08,0%
